Date,Open,High,Low,Close,Volume,Return,CumulativeReturn
25-10-00,1398.130005,1398.130005,1362.209961,1364.900024,1315600000,-0.02376744715,-0.06206618161
26-10-00,1364.900024,1372.719971,1337.810059,1364.439941,1303800000,-0.0003370818316,-0.06238234206
27-10-00,1364.439941,1384.569946,1364.130005,1379.579956,1086300000,0.01109613882,-0.05197840636
30-10-00,1379.579956,1406.359985,1376.859985,1398.660034,1186500000,0.01383035316,-0.03886693292
31-10-00,1398.660034,1432.219971,1398.660034,1429.400024,1366400000,0.02197817143,-0.01774298561
11-1-00,1429.400024,1429.599976,1410.449951,1421.219971,1206800000,-0.005722717828,-0.02336416533
11-2-00,1421.219971,1433.400024,1421.219971,1428.319946,1167700000,0.004995690424,-0.01848519505
11-3-00,1428.319946,1433.209961,1420.920044,1426.689941,997700000,-0.001141204395,-0.01960530406
11-6-00,1428.76001,1438.459961,1427.719971,1432.189941,930900000,0.003855077296,-0.01582580672
11-7-00,1432.189941,1436.219971,1423.26001,1431.869995,880900000,-0.0002233963463,-0.01604566764
11-8-00,1431.869995,1437.280029,1408.780029,1409.280029,909300000,-0.01577654821,-0.0315690706
11-9-00,1409.280029,1409.280029,1369.680054,1400.140015,1111000000,-0.00648559109,-0.03784991761
11-10-00,1400.140015,1400.140015,1365.969971,1365.97998,962500000,-0.02439758498,-0.061324056
13-11-00,1365.97998,1365.97998,1328.619995,1351.26001,1129300000,-0.01077612426,-0.07143934462
14-11-00,1351.26001,1390.060059,1351.26001,1382.949951,1118800000,0.02345214153,-0.04966260871
15-11-00,1382.949951,1395.959961,1374.75,1389.810059,1066800000,0.004960488986,-0.04494847054
16-11-00,1389.810059,1394.76001,1370.390015,1372.319946,956300000,-0.01258453476,-0.05696734971
17-11-00,1372.319946,1384.849976,1355.550049,1367.719971,1070400000,-0.003351969789,-0.06012836667
20-11-00,1367.719971,1367.719971,1341.670044,1342.619995,955800000,-0.01835169226,-0.07737660164
21-11-00,1342.619995,1355.869995,1333.619995,1347.349976,1137100000,0.003522948427,-0.07412624699
22-11-00,1347.349976,1347.349976,1321.890015,1322.359985,963200000,-0.01854751285,-0.09129890233
24-11-00,1322.359985,1343.829956,1322.359985,1341.77002,404870000,0.01467832906,-0.0779606886
27-11-00,1341.77002,1362.5,1341.77002,1348.969971,946100000,0.005366009743,-0.07301301667
28-11-00,1348.969971,1358.810059,1334.969971,1336.089966,1028200000,-0.009548029442,-0.08186391568
29-11-00,1336.089966,1352.380005,1329.280029,1341.930054,402100000,0.004371029009,-0.07785071622
30-11-00,1341.910034,1341.910034,1294.900024,1314.949951,1186530000,-0.02010544657,-0.09639093937
12-1-00,1314.949951,1334.670044,1307.02002,1315.22998,1195200000,0.0002129579151,-0.09619850867
12-4-00,1315.180054,1332.060059,1310.22998,1324.969971,1103000000,0.007405542109,-0.08950536867
12-5-00,1324.969971,1376.560059,1324.969971,1376.540039,900300000,0.03892168814,-0.05406738058
12-6-00,1376.540039,1376.540039,1346.150024,1351.459961,1399300000,-0.0182196502,-0.07130194202
12-7-00,1351.459961,1353.5,1339.26001,1343.550049,1128000000,-0.005852864479,-0.0767374859
12-8-00,1343.550049,1380.329956,1343.550049,1369.890015,1358300000,0.01960475236,-0.05863715294
12-11-00,1369.890015,1389.050049,1364.140015,1380.199951,1202400000,0.007526104933,-0.05155235737
12-12-00,1380.199951,1380.27002,1370.27002,1371.180054,1083400000,-0.006535210346,-0.05775066222
13-12-00,1371.180054,1385.819946,1358.47998,1359.98999,1195100000,-0.008160900509,-0.06544026532
14-12-00,1359.98999,1359.98999,1340.47998,1340.930054,1061300000,-0.01401476198,-0.07853789755
15-12-00,1340.930054,1340.930054,1305.380005,1312.150024,1561100000,-0.02146273768,-0.09831499694
18-12-00,1312.150024,1332.319946,1312.150024,1322.73999,1189900000,0.008070697562,-0.09103776999
19-12-00,1322.959961,1346.439941,1305.199951,1305.599976,1324900000,-0.0129579616,-0.1028160677
20-12-00,1305.599976,1305.599976,1261.160034,1264.73999,1421600000,-0.03129594573,-0.1308942873
21-12-00,1264.73999,1285.310059,1254.069946,1274.859985,1449900000,0.008001640717,-0.1239400157
22-12-00,1274.859985,1305.969971,1274.859985,1305.949951,1087100000,0.02438696513,-0.1025755714
26-12-00,1305.969971,1315.939941,1301.640015,1315.189941,806500000,0.00707530177,-0.09622602273
27-12-00,1315.189941,1332.030029,1310.959961,1328.920044,1092700000,0.01043963505,-0.08679095224
28-12-00,1328.920044,1335.930054,1325.780029,1334.219971,1015300000,0.003988145881,-0.08314894134
29-12-00,1334.219971,1340.099976,1317.51001,1320.280029,1035500000,-0.0104480088,-0.09272820927
1-2-01,1320.280029,1320.280029,1276.050049,1283.27002,1129400000,-0.02803193882,-0.1181607966
1-3-01,1283.27002,1347.76001,1274.619995,1347.560059,1880700000,0.0500986059,-0.07398188188
1-4-01,1347.560059,1350.23999,1329.140015,1333.339966,2131000000,-0.01055247438,-0.08375366435
1-5-01,1333.339966,1334.77002,1294.949951,1298.349976,1430800000,-0.02624236196,-0.1077981323
1-8-01,1298.349976,1298.349976,1276.290039,1295.859985,1115500000,-0.001917811874,-0.1095092077
1-9-01,1295.859985,1311.719971,1295.140015,1300.800049,1191300000,0.003812189633,-0.1061144879
1-10-01,1300.800049,1313.76001,1287.280029,1313.27002,1296500000,0.009586385709,-0.0975453566
1-11-01,1313.27002,1332.189941,1309.719971,1326.819946,1411200000,0.01031769994,-0.08823410038
1-12-01,1326.819946,1333.209961,1311.589966,1318.550049,1276000000,-0.006232870575,-0.09391701923
16-01-01,1318.319946,1327.810059,1313.329956,1326.650024,1205700000,0.006143092563,-0.08835086761
17-01-01,1326.650024,1346.920044,1325.410034,1329.469971,1349100000,0.002125614856,-0.08641305267
18-01-01,1329.890015,1352.709961,1327.410034,1347.969971,1445000000,0.01391531994,-0.073700198
19-01-01,1347.969971,1354.550049,1336.73999,1342.540039,1407800000,-0.004028229202,-0.07743154591
22-01-01,1342.540039,1353.619995,1333.839966,1342.900024,1164000000,0.0002681372544,-0.07718417094
23-01-01,1342.900024,1362.900024,1339.630005,1360.400024,1232600000,0.01303149876,-0.06515849761
24-01-01,1360.400024,1369.75,1357.280029,1364.300049,1309000000,0.002866822208,-0.06247847323
