TRADE_DATE,OPEN,LAST,HIGH,LOW,HIGHLOW_TICKS,VOLUME,AVGVOL30D,EQY_BETA
20180306,245.50,250.00,250.00,245.50,9,36945781,44093318,1.2580
20180307,248.00,247.00,248.50,246.00,5,30391219,44153807,1.2580
20180308,249.50,249.50,251.50,249.00,5,20645694,44061743,1.2580
20180309,250.00,250.50,251.00,248.50,5,22887063,43554041,1.2640
20180312,252.00,254.00,255.00,251.50,7,25100615,42720063,1.2640
20180313,255.50,259.00,259.00,255.00,8,34264883,42026849,1.2620
20180314,256.50,257.00,257.50,255.50,4,24254838,41305094,1.2620
20180315,258.00,255.00,258.00,255.00,6,19396493,40798095,1.2620
20180316,253.00,255.00,256.00,249.50,13,62989326,41477712,1.2600
20180319,252.50,255.00,255.50,251.00,9,22440766,40685246,1.2600
20180320,253.00,253.00,254.00,251.50,5,22335151,39979267,1.2620
20180321,255.00,252.50,255.00,251.00,8,32977737,40034984,1.2620
20180322,254.50,251.50,254.50,249.50,10,27000718,39687988,1.2620
20180323,245.00,245.00,247.00,244.00,6,52974390,39982574,1.2700
20180326,241.50,243.50,244.50,241.50,6,39487944,40280190,1.2700
20180327,248.00,251.00,251.00,247.00,8,31100260,40459947,1.2720
20180328,247.50,245.00,248.00,244.00,8,29924411,39937615,1.2720
20180329,243.00,244.00,247.00,242.50,9,36427345,37670258,1.2720
20180330,247.50,247.50,249.00,246.50,5,3603912,34573875,1.2710
20180402,248.50,246.50,249.00,245.00,8,19029001,33010200,1.2710
20180403,243.00,244.00,244.50,242.00,5,35813944,32773424,1.2760
20180409,248.00,245.00,248.00,243.50,9,35465824,31409079,1.2760
20180410,244.50,245.50,249.00,243.50,11,25268994,30734945,1.2820
20180411,246.50,248.00,248.50,246.50,4,21777935,30561351,1.2820
20180412,248.50,245.00,248.50,244.00,9,20476657,30038379,1.2820
20180413,246.00,244.50,246.00,244.00,4,19946548,29213293,1.2770
20180416,243.00,243.50,244.00,242.00,4,21608528,28471978,1.2770
20180417,243.00,238.00,243.50,237.50,12,42756389,28720885,1.2810
20180418,239.50,238.00,241.50,236.50,10,44768047,29301892,1.2810
