TRADE_DATE,OPEN,LAST,HIGH,LOW,HIGHLOW_TICKS,VOLUME,AVGVOL30D,EQY_BETA
20190812,254.50,251.00,254.50,251.00,7,24732599,31315301,1.0000
20190813,249.00,246.50,249.50,246.50,6,25045106,29927358,1.0000
20190814,252.50,249.50,254.00,249.50,9,36336702,29867788,1.3360
20190815,247.00,248.00,248.50,246.00,5,28277412,30094019,1.3360
20190816,249.50,250.00,252.00,248.00,8,25696715,30359547,1.3370
20190819,251.50,252.00,253.00,250.50,5,25098514,30359547,1.3370
20190820,254.00,254.50,254.50,252.50,4,20620494,30223133,1.3390
20190821,254.50,254.50,255.00,253.00,4,20269296,30359184,1.3390
20190822,257.00,254.00,257.50,254.00,7,22136840,30241089,1.3390
20190823,253.50,254.00,254.50,253.00,3,14772877,29632589,1.3390
20190826,249.00,248.50,250.50,248.50,4,31740620,29632589,1.3390
20190827,250.50,250.00,251.00,248.50,5,53664950,29548466,1.3410
20190828,250.50,252.00,253.00,250.50,5,15280882,30465923,1.3410
20190829,253.00,254.00,254.00,251.00,6,20085767,29830398,1.3410
20190830,256.50,259.00,259.00,256.00,6,35299201,28983617,1.3420
